Estado_civil,Curso,Modalidad_asistencia,Nacionalidad,Cualificación_de_la_madre,Cualificación_del_padre,Desplazado,Necesidades_educativas_especiales,Deudor,Matrícula_al_día,Género,Titular_de_la_beca,Estudiante_internacional,Nota_primer_semestre,Nota_segundo_semestre,Tasa_de_desempleo,Rendimiento
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Otro - 11º Año de Escolaridad,Si,No,No,Si,Masculino,No,No,0.0,0.0,10.8,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Superior - Grado,Si,No,No,No,Masculino,No,No,14.0,13.666666666666666,13.9,Graduate
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,No,Masculino,No,No,0.0,0.0,10.8,Dropout
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,13.428571428571429,12.4,9.4,Graduate
Casado/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,12.333333333333334,13.0,13.9,Graduate
Casado/a,Gerencia (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,Si,Si,Masculino,No,No,11.857142857142858,11.5,16.2,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,Si,No,13.3,14.345,15.5,Graduate
Soltero/a,Turismo ,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,No,Masculino,No,No,0.0,0.0,15.5,Dropout
Soltero/a,Servicio Social,Matutino,Rumano,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,Si,Femenino,Si,Si,13.875,14.142857142857142,16.2,Graduate
Soltero/a,Servicio Social,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,Si,No,Si,No,Femenino,No,No,11.4,13.5,8.9,Dropout
Soltero/a,Gerencia de Publicidad y Mercadeo,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,12.333333333333334,14.2,13.9,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,Si,No,13.214285714285714,13.214285714285714,12.7,Graduate
Soltero/a,Educación Básica,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,0.0,0.0,12.7,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,Si,No,10.571428571428571,11.0,8.9,Graduate
